TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Indiana Pacers,13,128.1,47.8,94.8,50.4,15.5,39.9,38.7,17.1,21.5,79.3,9.7,31.1,40.8,30.6,7.6,6.3,12.5,22
Dallas Mavericks,14,122.8,43.9,90.8,48.3,16.7,43.1,38.8,18.4,24.9,73.6,10,32.4,42.4,25.8,5.9,4,12.1,17.6
Atlanta Hawks,13,122.4,43.6,89.5,48.7,12.8,35.1,36.6,22.3,26.8,83.1,12.4,31.4,43.8,26.6,8.8,4.8,14.8,18.6
Milwaukee Bucks,14,120.8,43.1,86.6,49.8,14.4,37.9,38.1,20.1,26.3,76.4,8.4,34.1,42.5,24.6,6.9,5.3,13.6,19.5
Philadelphia 76ers,14,120.4,42.8,89.5,47.8,11.3,30.3,37.3,23.5,27.2,86.4,11.6,34.1,45.7,25.3,8.5,5.9,12.4,20.1
Oklahoma City Thunder,14,119.6,43.8,87.1,50.3,12.9,31.4,41,19.1,22.1,86.7,7.2,34,41.2,25.6,8.6,5.8,13.9,19.2
Phoenix Suns,14,117.3,41.6,86.8,47.9,13.1,33.4,39.3,21,24.9,84.2,10.9,33.2,44.1,27,7.1,6.9,14.9,19.4
Boston Celtics,14,117.2,42.2,89.6,47.1,15.9,43.8,36.4,16.9,21.3,79.2,10.6,36.8,47.4,24.5,6.2,5.6,12.4,17.7
Utah Jazz,14,115.6,42,92.4,45.4,13.9,38.4,36.1,17.7,21.9,80.8,15.1,32.1,47.2,27,6.4,5.6,16.5,21.3
Washington Wizards,13,115.2,43.8,90.8,48.3,12.2,34.8,35.1,15.3,20,76.5,8.3,29.6,37.9,27.5,8.4,4.9,13.8,19.5
Sacramento Kings,13,115.2,41.8,90.3,46.3,14.6,42.5,34.4,16.8,23.2,72.5,10.9,32.8,43.7,28,8.2,4.6,13.2,21.2
Golden State Warriors,15,113.9,40.4,90.9,44.5,14.4,39.9,36.1,18.7,23.6,79.1,13.9,33.1,47,27.4,7.5,3.5,14.4,21.1
Charlotte Hornets,13,113.7,42.9,91.4,47,10,30.2,33.1,17.8,22.8,78.1,12.7,32.7,45.4,25.2,7.2,4.8,13.8,20.9
LA Clippers,12,113.5,41.3,87.3,47.4,12.6,33.7,37.4,18.3,23.5,77.7,10.6,33.5,44.1,24.2,10.4,4.2,14.2,20.7
New Orleans Pelicans,14,113.3,42,88.6,47.4,11.7,31.9,36.8,17.6,23.8,73.9,10.4,33.9,44.3,25.7,7.7,4.7,13.6,19.9
Minnesota Timberwolves,13,113.2,41.7,85.3,48.9,11,30.5,36,18.8,24.4,77.3,9.5,35.7,45.2,25.1,7.8,6.1,14.2,19.5
Denver Nuggets,14,113.2,44.1,88.4,49.9,11.5,32.2,35.7,13.6,19,71.4,10.2,33.9,44.1,29.3,6.9,5.7,12.4,18.4
Los Angeles Lakers,15,113.1,41.7,84.8,49.1,10,29.3,34.1,19.8,25.9,76.5,8.3,35.8,44.1,26.1,8.1,6.3,14.7,17.7
Brooklyn Nets,13,113.1,41.9,89.8,46.7,15,39.3,38.2,14.2,18.7,76.1,11.1,35.6,46.7,25.6,5.5,5.2,13.1,18.8
Cleveland Cavaliers,14,111.9,41.2,86.6,47.6,11.1,32.2,34.6,18.4,23.6,77.6,10.6,34.6,45.2,24.9,7.6,5.4,13.5,19.4
Orlando Magic,14,110.6,39.7,86.9,45.7,10.2,30.6,33.4,20.9,27.7,75.5,12,32.2,44.2,24.1,9.8,5.6,15,20.8
Toronto Raptors,14,110.6,41.9,90.1,46.4,11.6,33.5,34.5,15.3,21.3,71.8,11.9,34,45.9,28.8,7.9,4.7,14.3,19.1
San Antonio Spurs,14,110.3,41.9,91,46.1,12.4,35.6,34.9,14,18.4,76,9.9,32.5,42.4,28.9,6.9,6.2,16,20
Miami Heat,14,110.2,39.4,84.9,46.4,12.4,33.1,37.6,19.1,22.4,85.3,9.3,31.9,41.2,25.8,8.9,3.3,12.6,17.4
New York Knicks,14,110.1,39.6,90.9,43.6,13.6,36.9,37,17.2,23.6,73,14.3,33.1,47.4,23.1,8,2.6,11.9,18.1
Houston Rockets,12,109.9,41,87.5,46.9,12.4,34.3,36.2,15.5,20.8,74.4,9.8,33.4,43.3,26.3,6.8,3.4,12.7,22.3
Detroit Pistons,15,109.5,40.9,88.3,46.3,10.3,29.2,35.2,17.4,21.3,81.8,12.5,33.4,45.9,26.8,5.8,5.4,16.8,23.7
Memphis Grizzlies,13,108.7,39.8,92.7,42.9,14.1,41.3,34.1,15.1,19.5,77.2,11.2,31.1,42.2,24.8,8.2,6.3,13.8,21.8
Chicago Bulls,15,106.7,39.5,89.4,44.1,11.3,33.1,34.1,16.5,20.5,80.5,11,30.5,41.5,21.9,8.8,4.8,11.7,20
Portland Trail Blazers,14,103.2,38.2,89.2,42.8,10.4,32.9,31.5,16.4,20.9,78.8,12.3,28.9,41.2,21.4,8.6,4.9,15.5,20.1
